49 CFR 172.101 Hazardous Materials Table,,,,,,,,,,,,,,,
Symbols,Hazardous materials description and proper shipping names,Hazard class or Division,ID Numbers,PG,Label Codes,Special provisions (172.102),Packaging (173.***),,,Quantity limitations,,Vessel stowage,,,
,,,,,,,Exceptions,Non Bulk,Bulk,Passenger aircraft / rail,Cargo aircraft only,Location,Other,,
(1),(2),(3),(4),(5),(6),(7),(8A),(8B),(8C),(9A),(9B),(10A),(10B),,
,"Accellerene, see p-Nitrosodimethylaniline",,,,,,,,,,,,,,
,"Accumulators, electric, see Batteries, wet etc",,,,,,,,,,,,,,
,"Accumulators, pressurized, pneumatic or hydraulic (containing non-flamable gas), see Articles pressurized, pneumatic or hydraulic (containing non-flamable gas)",,,,,,,,,,,,,,
,Acetal,3,UN1088,II,3,"IB2, T4, TP1",150,202,242,5 L,60 L,E,,,
,Acetaldehyde,3,UN1089,I,3,"A3, B16, T11, TP2, TP7",None,201,243,Forbidden,30 L,E,,,
A ,Acetaldehyde ammonia,9,UN1841,III,9,"IB8, IP3, IP7, T1, TP33",155,204,240,200 kg,200 kg,A,34,,
,Acetaldehyde oxime,3,UN2332,III,3,"B1, IB3, T4, TP1",150,203,242,60 L,220 L,A,,,
,"Acetic acid, glacial or Acetic acid solution, with > 80% acid, by mass",8,UN2789,II,"8, 3","A3, A6, A7, A10, B2, IB2, T7, TP2",154,202,243,1 L,30 L,A,,,
,"Acetic acid solution, not < 50% but not > 80% acid, by mass",8,UN2790,II,8,"A3, A6, A7, A10, B2, IB2, T7, TP2",154,202,242,1 L,30 L,A,,,
,"Acetic acid solution, with > 10% and < 50% acid, by mass",8,UN2790,III,8,"IB3, T4, TP1",154,203,242,5 L,60 L,A,,,
,Acetic anhydride,8,UN1715,II,"8, 3","A3, A6, A7, A10, B2, IB2, T7, TP2",154,202,243,1 L,30 L,A,40,,
,Acetone,3,UN1090,II,3,"IB2, T4, TP1",150,202,242,5 L,60 L,B,,,
,"Acetone cyanohydrin, stabilized",6.1,UN1541,I,6.1,"2, B9, B14, B32, B76, B77, N34, T20, TP2, TP13, TP38, TP45",None,227,244,Forbidden,Forbidden,D,"25, 40, 52, 53",,
,Acetone oils,3,UN1091,II,3,"IB2, T4, TP1, TP8",150,202,242,5 L,60 L,B,,,
,Acetonitrile,3,UN1648,II,3,"IB2, T7, TP2",150,202,242,5 L,60 L,B,40,,
,Acetyl acetone peroxide with > 9% by mass active oxygen,Forbidden,,,,,,,,,,,,,
,"Acetyl benzoyl peroxide, solid, or with > 40% in solution",Forbidden,,,,,,,,,,,,,
,Acetyl bromide,8,UN1716,II,8,"B2, IB2, T8, TP2, TP12",154,202,242,1 L,30 L,C,40,,
,Acetyl chloride,3,UN1717,II,"3, 8","A3, A6, A7, IB1, N34, T8, TP2, TP12",150,202,243,1 L,5 L,B,40,,
,"Acetyl cyclohexanesulfonyl peroxide, with > 82% wetted with < 12% water",Forbidden,,,,,,,,,,,,,
,"Acetylene, dissolved",2.1,UN1001,,2.1,"N86, N88",None,303,None,Forbidden,15 kg,D,"25, 40, 57",,
,Acetylene (liquefied),Forbidden,,,,,,,,,,,,,
,Acetylene silver nitrate,Forbidden,,,,,,,,,,,,,
,"Acetylene, solvent free",Forbidden,,,,,,,,,,,,,
,"Acetylene tetrabromide, see Tetrabromoethane",,,,,,,,,,,,,,
,Acetyl iodide,8,UN1898,II,8,"B2, IB2, T7, TP2, TP13",154,202,242,1 L,30 L,C,40,,
,Acetyl methyl carbinol,3,UN2621,III,3,"B1, IB3, T2, TP1",150,203,242,60 L,220 L,A,,,
,"Acetyl peroxide, solid, or with > 25% in solution",Forbidden,,,,,,,,,,,,,
,"Acid butyl phosphate, see Butyl acid phosphate",,,,,,,,,,,,,,
,"Acid, sludge, see Sludge acid",,,,,,,,,,,,,,
,Acridine,6.1,UN2713,III,6.1,"IB8, IP3, T1, TP33",153,213,240,100 kg,200 kg,A,,,
,"Acrolein dimer, stabilized",3,UN2607,III,3,"B1, IB3, T2, TP1",150,203,242,60 L,220 L,A,40,,
