,ID,Chemical Name,CAS Number,MARPOL,FOSFA,NIOP,EU,Relative Density,Solubility,Boiling Point (°C),Melting Point (°C),Viscosity (mPa·s),Flash Point (°C),Static Accumulator,
,1,ACETIC ACID,64-19-7,Z,A,L1,A,1.05,COMPLETE,118,17,1.31,40,,
,2,ACETIC ACID ANHYDRIDE,108-24-7,Z,A,L2,A,1.082,COMPLETE,140,-73,0.971,48,,
,3,ACETONE,67-64-1,Z,A,L2,A,0.791,COMPLETE,56,-95,0.337,-17,,
,4,ACETONE CYANOHYDRIN,75-86-5,Y,B,,,0.932,COMPLETE,119,-20,3.9,74,,
,5,ACETONITRILE,75-05-8,Z,,,,0.782,COMPLETE,81,-45,0.375,2,,
,6,"ACID OIL MIXTURE FROM SOYABEAN, CORN (MAIZE) AND SUNFLOWER OIL REFINING",,Y,,,,0.93,INSOLUBLE,,20,49 (@30°C),,,
,7,ACRYLIC ACID,79-10-7,Y,B,,,1.05,COMPLETE,141,13,1.2,49,,
,8,ACRYLONITRILE,107-13-1,Y,B,,,0.806,7.3,77,-82,0.4,0,,
,9,ADIPONITRILE,111-69-3,Z,B,,,0.97,4.5,93,1,3,93,,
[10] ALCOHOL ETHOXYLATES,,,,,,,,,,,,,,,
,10,ALCOHOL (C12-C15) POLY (20+) ETHOXYLATE,,Y,,,,0.925,COMPLETE,,6,17.58,204,,
,10,ALCOHOL (C12-C15) POLY (7-19) ETHOXYLATES,68551-13-3,Y,,,,0.958 (@50°C),10,,21,21 (@50°C),198,,
,10,ALCOHOL (C12-C15) POLY (1-6) ETHOXYLATES,,Y,,,,0.87,SLIGHT,250,11,26,140,,
,10,NEODOL 23-1 (SHELL),66455-14-9,Y,,,,0.873 (@40°C),0.5,254,1,35,148,,
,10,NEODOL 23-2 (SHELL),66455-14-9,Y,,,,0.892 (@40°C),0.5,,2,35,148,,
,10,NEODOL 23-3 (SHELL),66455-14-9,Y,,,,0.903 (@40°C),SLIGHT,,0,14.45 (@40°C),154,,
,10,NEODOL 23-5 (SHELL),66455-14-9,Y,,,,0.922 (@25°C),SLIGHT,255,1.1,,152,,
,10,NEODOL 23-6.5 (SHELL),66455-14-9,Y,,,,0.969 (@40°C),COMPLETE,,18,75,172,,
,10,NEODOL 25-3 (SHELL),68131-39-5,Y,,,,0.921 (@25°C),INSOLUBLE,260,5,50,157,,
,10,NEODOL 25-7 (SHELL),68131-39-5,Y,,,,0.97 (@40°C),COMPLETE,260,25,33 (@40°C),186,,
,10,NEODOL 25-9 (SHELL),68131-39-5,Y,,,,0.992 (@40°C),COMPLETE,,25,50 (@38°C),190,,
,10,NEODOL 45-7 (SHELL),68951-67-7,Y,,,,0.969 (@40°C),SLIGHT,260,9,50 (@38°C),190,,
