,III Table 2 - CLEANING PROCEDURES LIST
,
A,"1. Stripping of tank, line and pump;
2. Drying and gasfreeing by air.
NOTE:
Bottomwashing with cold water for ½ hour can be advisable.
Liquid remaining in pockets of the lines is difficult to remove by ventilating. Washing of the lines with water is advisable.
"
AA,"1. Spraying or butterworthing with toluene, dichloromethane or dry gasoil. DO NOT USE WATER, METHANOL OR ETHANOL, as these liquids react violently with the isocyanate under decomposition and carbon dioxide formation;
2. Careful draining of tank, line and pump;
Be sure that no isocyanate solution is left;
3. Proceed with the appropriate cleaning procedure for the solvent used;
4. Do not mix water containing slops with the isocyanate solvent mixture.
"
B,"1. Butterworthing with cold fresh- or seawater for 2 hours;
2. Flushing with freshwater;
3. Steaming;
4. Draining of tank, line and pump;
5. Drying

"
BB,"1. Butterworthing with hot seawater and steaming with high pressure livestream (120 °C) for about
3 hours;
2. Butterworthing with hot water and 0.05% liquid detergent (Teepol) and steaming with high pressure livestream (100 °C) for 3 hours;
3. Steaming:
4. Butterworthing with hot freshwater for ½ hour;
5. Draining of tank, line and pump;
6. Drying
"
C,"1. Butterworthing with cold seawater for about 1 hour,
2. Butterworthing with war freshwater (50 °C) for 1 hour;
3. Steaming
4. Draining of tank, line and pump;
5. Drying
"
CC,"1. As soon as the cargo has been discharged perform prewash if required, otherwise drain pump
and line as well as possible;
2. Fill the tank completely with cold seawater and leave if until cleaning is started;
3. Empty the tank and start butterworthing with cold seawater for 3 hours;
4. Flushing with freshwater;
5. Steaming until the odour has disappeared
6. Draining of tank, line and pump;
7. Drying
"
D,"1. Butterworthing with cold seawater for 1 hour:
2. Flushing with freshwater;
3. Steaming:
4. Draining of tank, line and pump;
5. Drying.
"
DD,"It is advisable NOT to load and carry this product after subjecting previous cargo.
"
E,"1. Butterworthing with cold seawater for 1 hour;
2. Butterworthing with hot seawater for 2 hours;
3. Flushing with freshwater;
4. Steaming;
5. Draining of tank, line and pump;
6. Drying
"
EE,"1. Butterworthing with cold seawater for 1 hour;
2. Draining of tank, line and pump;
3. Drying.
"
F,"1. Butterworthing with abundant cold water for 1 hour. (Check the pH value of the slop water;
washing to be continued until a value of at least 7 is reached.);
2. WITHOUT INTERRUPTION: Flushing with freshwater if seawater was used before;
3. Steaming:
4. Draining of tank, line and pump;
5. Drying.
"
FF,"1. Butterworthing with warm seawater (50 °C) for 1 hour;
2. Draining of tank, line and pump;
3. Drying
"
G,"1. Butterworthing with abundant cold water for 1 hour. (Check the pH value of the slop water; washing to be continued until a value of at least 7 is reached.):
2. WITHOUT INTERRUPTION: flushing with freshwater if seawater was used before,
3. Passivation of the stainless steel with nitric acid or commercial quality passivation liquid;
4. Flushing with freshwater, check the pH value:
5. Steaming;
6. Draining of tank, line and pump;
7. Drying.
"
GG,"1. Butterworthing with hot seawater (80 °C) for 1 hour;
2. Draining of tank, line and pump;
3. Drying.
"
H,"1. Butterworthing with cold seawater for about 2 hours;
2. Butterworthing with hot water (80 -C) for about 1 hour;
3. Steaming;
4. Draining of tank, line and pump;
5. Drying
"
HH,"1. Butterworthing with warm seawater (50 °C) for about 1 hour;
2. Butterworthing with hot seawater and 0,05% liquid detergent (Teepol) for about 2½ hours;
3. Butterworthing with freshwater for about l½ hour;
4. Steaming:
5. Draining of tank, line and pump:
6. Drying
"
J,"1. Butterworthing with abundant cold seawater for 2 hours:
2. Butterworthing with hot water (80 °C) and 0.05% liquid detergent (Teepol) for about 1 hour;
3. Butterworthing with hot freshwater (80 °C) for * hour;
4. Steaming;
5. Draining of tank, line and pump;
6. Drying.
"
JJ,"1. Butterworthing with hot freshwater (80 °C) for about 2 hours;
2. Steaming:
3. Draining of tank, line and pump;
4. Drying.
"
K,"1. Butterworthing with luke warm (20 - 30 °C) seawater for about 2 hours:
2. Butterworthing with hot water (B0 *C) for about 1 hour;
3. Steaming:
4. Draining of tank, ne and pump;
5. Drying"
KK,"1. Butterworthing with cold freshwater for 1 hour;
2. Steaming;
3. Draining of tank, line and pump:
4. Drying.
"
L,"1. Butterworthing with cold seawater for about 2 hours:
2. Butterworthing with hot water (8D °C) and 0.05% liquid detergent (Teepol) for about 1 hour,
3. Butterworthing with warm water tor about le hour;
4. Steaming with toluene (check the L.E.L.):
5. Butlerworthing with warm freshwater for about Is hour:
6. Draining of tank. line and pump:
7. Drying.
NOTE:
Should the odour still be present, the procedure has to be repeated from item no 4.
"
LL,"LL - 1. Butterworthing with luke warm (20 - 30 °C) seawater for about 2 hours;
2. Draining of tank, line and pump;
3. Drying.
"
M,"1. Do not allow the latex to dry. Apply shortly live steam in the tank at the end of the discharge in order to saturate the air with water, siso apply steam when discharging has to be strapped before the tank is completely empty: KEEP THE TANK CLOSED|
2. Butlerworthing with abundant cold water for 1 hour;
3. Butterworthing with cold water and 0.05 % detergent (Teepol) for 2 hours;
4. Continue butterworthing if latex is still visible,
5. Butterworthing with hot fresh water (80 °C) for M hour;
6. Draining of tank, line and pump;
7, Drying.
"
MM,"1. Butterworthing with cold freshwater for about 1 hour,
2. Butterworthing with warm freshwater (50 °C) for 1 hour.
3. Steaming:
4. Draining of lank, line and pump:
5. Drying
"
N,"1. Butterworthing with warm Ireshwater (50 °C) for 1 hour;
2. Draining of tank, line and pump:
3. Drying.
"
NN,"1. Butterworthing with luke warm (20 - 30° C) seawater for about 2 hours;
2. Butterworthing with hot water (50 °C) and 0.05 % detergent (Teepol) for 1 hour;
3. Butterworthing with hot freshwater for % hour;
4. Steaming;
5. Draining of tank, line and pump;
6. Drying.
"
O,"1. Butterworthing with warm freshwater (50) for about 2 hours;
2. Draining of tank, line and pump.
3. Drying
"
OO,"in the case of unleaded gasoline use procedure E
In the case of leaded gasoline it is not advisable, sometimes not even allowed, to load vegetable or animal oils and fats or naphtha.
An extra cleaning step after hot water washing in procedure E with a buffered acetic acid solution pH 5.5 or a commercial ""lead cleaning” product will lower the actual lead content of the tank.
"
P,"1. Butterworthing with warm water (50 C) for about t hour;
2. Flushing with fresh water:
3. Steaming:
4. Draining of tank, line and pump;
5. Drying
"
R,"1. Butterworthing with fuke wan fresh- or seawater 20 - 30 °C) for about 2 hours;
2. Flushing with freshwater;
3. Steaming:
4. Draining of tank, line and pump;
5. Drying
"
S,"1. Butterworthing with warm seawater (50 °C) for about 1 hour;
2. Butterworthing with hot seawater (B0 °C) for about 1 hour:
3. Butterworthing with freshwater for about Ys hour;
4. Steaming;
5. Draining of tank, line and pump;
6. Drying
"
T,"1. Butterworthing with warm seawater (50 °C) for about 1 hour;
2. Butterworthing with hot seawater (80 °C) and 0,05% liquid detergent (Teepol) for about 1 hour;
3. Butterworthing with freshwater for about hour;
4. Steaming;
5. Draining of tank, line and pump;
6. Drying.
"
U,"1. Butterworking with hot seawater (80 °C) for about 1 hour;
2. Butterworthing with hot water and 0.05% liquid detergent (Teepol) for about 1%½ hours;
9. Butterworthing with freshwater for about e hour;
4. Draining of tank, line and pump:
5. Drying
"
V,"1. Butterworthing with hot seawater (80° C) for about 2 hours;
2. Flushing with freshwater;
3. Steaming;
4, Draining of tank, line and pump:
5. Drying.
"
W,"1. Butterworthing with hot seawater (80 °C) for about 2 hours;
2. Butterworthing with hot water and 0.05% liquid detergent (Teepol) for 1 hour;
3. Steaming:
4. Draining of tank, line and pump;
5. Drying.
"
Y,"1. Butlerworthing with hot seawater (80 °C) for about 2 hours:
2. Butterworthing with hot water and 0.05% liquid detergent (Teepol) for 1 hour.
3. Butterworthing with hot water tor about I hour,
4. Draining of tank, line and pump;
5. Drying
"
Z,"1. Butterworthing with hot seawater (80° C) for about 2 hours:
2. Butterworthing with hot water and 0.05% liquid detergent (Teepol) for about 2 hours;
3. Steaming with toluene (check the L.E.L.)
4. Butterworthing with hot water for about 1 hour;
5. Draining of tank, line and pump:
6. Drying
"
