,COMMODITIES,SpGr ,Temp,Correction factor,Ship Type,Tank Type,Pollution cat,Compliance,USCG compat,Boiling point,Melting point,Flash point,Heat adjacent,Heat req V,Heat req D,Colour,Solubility,UnNr,
Aatrex,,,,,,,,,7,,,,,,,,,,
Absolute alcohol,,.790,15,.00085,,,N,N,20,78,-114,12,38,N,N,WW,Y,1170,"Hydrocarbon, cloride free tk req."
,Ethyl alcohol,,,,,,,,,,,,,,,,,,"Diffrent grades, diffrent specs-grades"
,Alcohol,,,,,,,,,,,,,,,,,,Ventilate after discharge. No water reg.
,Alcohol Anhydrous,,,,,,,,,,,,,,,,,,Marpol appendix 3
,Ethanol,,,,,,,,,,,,,,,,,,
,Grain Alcohol,,,,,,,,,,,,,,,,,,
Acetaldehyde,,.780,15,.00132,,,C,Y,19,21,-124,-38,N,N,N,WW,Y,,Very poisonous. Higly flammable.
,Acetic  Aldehyde,,,,,,,,,,,,,,,,,,Presently acceptable on gas tankers
,Aldehyde,,,,,,,,,,,,,,,,,,only
,Ethyl Aldehyde,,,,,,,,,,,,,,,,,,
Acetaldoxime,,.970,,,,,,,,238,13,44,Y,Y,Y,WW,Y,,More info required.
,,,,,,,,,,,,,,,,,,,Not yet classified for shipment.
,,,,,,,,,,,,,,,,,,,"Will require heating, check."
Acetic acid,,1.050,20,.00112,3,2g,D,Y,4,140,17,40,38,20,20,CLEAR,Y,2789,"Be carefull with heat adjecent, product"
,Glacial acetic acid,,,,,,,,,,,,,,,,,,is very color sensitive to heat. Follow
,Ethanolic acid,,,,,,,,,,,,,,,,,,heating instr. carefully.
,Vinegar acid,,,,,,,,,,,,,,,,,,Check for N2 requirements. Clean with
,,,,,,,,,,,,,,,,,,,"varm water, than steam. Be aware of"
,,,,,,,,,,,,,,,,,,,"strong odor, be sure lines, valves etc"
,,,,,,,,,,,,,,,,,,,are properly cleaned.
,,,,,,,,,,,,,,,,,,,"Poll cat C, but provisionally changed"
,,,,,,,,,,,,,,,,,,,to D. Some countries may not acc. D.
Acetic anhydride,,1.080,20,.00120,2,2g,C,Y,11,57,-95,49,37,N,N,WW,Y,1715,N2 blanket required. Purging prior
,Acetyl oxide,,,,,,,,,,,,,,,,,,load may be required- CHECK
,Acetic oxide,,,,,,,,,,,,,,,,,,Product reacts with varm water to
,,,,,,,,,,,,,,,,,,,"produce Acetic acid, therefor stow SS."
,,,,,,,,,,,,,,,,,,,"Clean with varm water, ventilate."
,,,,,,,,,,,,,,,,,,,Product has strong odor.
Acetone,,.790,20,.00111,,,N,N,18,56,-11,-18,N,N,N,WW,Y,1090,Expect bukhead test . Methanol standard.
,,,,,,,,,,,,,,,,,,,Clining. Rinse freshwater and ventilate.
,Dmk,,,,,,,,,,,,,,,,,,"Dow requiere N2 padding, and max. heat"
,Dimethyl ketone,,,,,,,,,,,,,,,,,,adjacent 27C. 
,,,,,,,,,,,,,,,,,,,Shell: No heat adjacent.
Acetone cyanohydrin,,.930,20,.00090,2,2g,A,Y,,84,-20,74,N,N,,COL-LESS,Y,1541,Very poisonous - check IMO/USCG
,,,,,,,,,,,,,,,,,,,requirements. Use full protective gear
,Hydroxyisobutyronnitrile-alpha,,,,,,,,,,,,,,,,,,when handling - have Amyl Nitrile capsules
