id,cargo_a_name,group__a_name,group_a_id,cargo_b_name,group_b_name,group_b_id,compatible,exception_type,appendix,section
1,Acetone,,18,Diethylenetriamine,,7,✅ TRUE,Compatible,I,I(a)
2,Acetone cyanohydrin,,0,Acetic acid,,4,✅ TRUE,Compatible,I,I(a)
3,Acrylonitrile,,15,Triethanolamine,,8,✅ TRUE,Compatible,I,I(a)
4,"1,3-Butylene glycol",,20,Morpholine,,7,✅ TRUE,Compatible,I,I(a)
5,"1,4-Butylene glycol",,20,Ethylamine,,7,✅ TRUE,Compatible,I,I(a)
6,"1,4-Butylene glycol",,20,Triethanolamine,,8,✅ TRUE,Compatible,I,I(a)
7,Caustic potash ≤50%,,5,Ethyl alcohol,,20,✅ TRUE,Compatible,I,I(a)
8,Caustic potash ≤50%,,5,Ethylene glycol,,20,✅ TRUE,Compatible,I,I(a)
9,Caustic potash ≤50%,,5,Isopropyl alcohol,,20,✅ TRUE,Compatible,I,I(a)
10,Caustic potash ≤50%,,5,Methyl alcohol,,20,✅ TRUE,Compatible,I,I(a)
11,Caustic potash ≤50%,,5,iso-Octyl alcohol,,20,✅ TRUE,Compatible,I,I(a)
12,Caustic soda ≤50%,,5,Butyl alcohol,,20,✅ TRUE,Compatible,I,I(a)
13,Caustic soda ≤50%,,5,"tert-Butyl alcohol, Methanol mixtures",,20,✅ TRUE,Compatible,I,I(a)
14,Caustic soda ≤50%,,5,Decyl alcohol,,20,✅ TRUE,Compatible,I,I(a)
15,Caustic soda ≤50%,,5,Diacetone alcohol,,20,✅ TRUE,Compatible,I,I(a)
16,Caustic soda ≤50%,,5,Diethylene glycol,,40,✅ TRUE,Compatible,I,I(a)
17,Caustic soda ≤50%,,5,Ethyl alcohol,,20,✅ TRUE,Compatible,I,I(a)
18,Caustic soda ≤50%,,5,"Ethyl alcohol (40%, whiskey)",,20,✅ TRUE,Compatible,I,I(a)
19,Caustic soda ≤50%,,5,Ethylene glycol,,20,✅ TRUE,Compatible,I,I(a)
20,Caustic soda ≤50%,,5,"Ethylene glycol, Diethylene glycol mixture",,20,✅ TRUE,Compatible,I,I(a)
21,Caustic soda ≤50%,,5,Ethyl hexanol (Octyl alcohol),,20,✅ TRUE,Compatible,I,I(a)
22,Caustic soda ≤50%,,5,Methyl alcohol,,20,✅ TRUE,Compatible,I,I(a)
23,Caustic soda ≤50%,,5,Nonyl alcohol,,20,✅ TRUE,Compatible,I,I(a)
24,Caustic soda ≤50%,,5,Propyl alcohol,,20,✅ TRUE,Compatible,I,I(a)
25,Caustic soda ≤50%,,5,Propylene glycol,,20,✅ TRUE,Compatible,I,I(a)
26,Caustic soda ≤50%,,5,Sodium chlorate,,0,✅ TRUE,Compatible,I,I(a)
27,Caustic soda ≤50%,,5,iso-Tridecanol,,20,✅ TRUE,Compatible,I,I(a)
28,Dodecyl/Tetradecylamine mixture,,7,"Tall oil, fatty acid",,34,✅ TRUE,Compatible,I,I(a)
29,Ethylenediamine,,7,Butyl alcohol,,20,✅ TRUE,Compatible,I,I(a)
30,Ethylenediamine,,7,tert-Butyl alcohol,,20,✅ TRUE,Compatible,I,I(a)
31,Ethylenediamine,,7,Butylene glycol,,20,✅ TRUE,Compatible,I,I(a)
