chemical_name,synonyms,un_number,chris code,molecular_formula,appearance,specific_gravity,chemical_family,boiling_point,freezing_point,vapor_pressure (mmHg),reid vapor pressure,vapor_density,water_solubility,fire_grade,electrical_group,flash_point (F),flammable_limits,autoignition_temperature,fire_extinguishing_agent,special_fire_procedures,unusual_fire_explosion_hazards,health_hazard_rating,odor_threshold,permissible_exposure_limit,threshold_limit_value,symptoms,short_term_exposure,long_term_exposure,personal_protection,first_aid,stability,incompatibility,hazardous_decomposition_products,hazardous_polymerization,cargo_group,spill_or_leak_procedure,remarks,general_note,extraction_note,page_number,source,NOTE
ACETALDEHYDE,Acetic aldehyde; Aldehyde; Ethanal; Ethyl aldehyde,1089,AAD,CH3CHO,Colorless liquid; pungent suffocating odor; fruity odor when diluted.,0.78,Aldehyde,21°C 69°F,-121°C,755,25.6,1.52,Complete,A: Flammable liquid,C,-36,4.0 to 57%,365,"CO2, dry chemical, alcohol foam, water fog",Avoid exposure to vapors. Wear self-contained breathing apparatus. Use water fog on large fires. Use hose streams at maximum range to cool exposed tanks. Fight fire from a safe distance or from a protected location.,"Produces irritating vapor when heated. If pressure is used to unload tank, nitrogen or other inert gas must be used. Air pressure may cause explosive peroxides to form. Flashback along vapor trail may occur. Vapor may explode if ignited in an enclosed area.",3.1.2,2.3,100,100,"Burning of eyes, nose and throat; headache, rapid heartbeat; possible drowsiness with prolonged exposure.","1100 ppm for 2 hours is severely irritating to mucous membranes; 11,000 ppm for 1-2 hours has been reported as fatal.",,,"Vapor—remove victim to fresh air; if breathing stops, apply artificial respiration. Skin or eye contact—remove contaminated clothing and gently flush affected areas with water for 15 minutes. Get medical advice or attention.",Highly reactive. Can form explosive peroxides under air pressure. Slowly polymerizes to paraldehyde. Can react vigorously with oxidizing materials. Explodes when mixed with iodine.,Negligible corrosion to mild steel. May dissolve rubber.,,,Group 19 of compatibility chart.,"If possible, wear rubber gloves, self-contained breathing apparatus and protective clothing. Cover spill with sodium bisulfite (NaHSO3). Add small amount of water and mix. Scoop up. Wash site with soap solution. Secure ignition sources. If a spill occurs, call the National Response Center, 800-424-8802.",,,,2,USCG Hazardous Chemical Data,
ACETIC ACID (Glacial),Acetic acid glacial; Ethanoic acid; Glacial acetic acid; Methane carboxylic acid; Vinegar acid,"10%-80%: 2790; Glacial, >80%: 2789",AAC,CH3COOH,Colorless liquid; pungent vinegar-like odor,1.05,Organic acid,118°C 245°F,17°C 62°F,11.3,0.6,2.07,Complete,D: Combustible liquid,D,110,5.4 to 16% at 212°F,1050,"CO2, dry chemical, alcohol foam, water fog",Use personal protective equipment when contact with liquid is likely. Skin or clothing contact can cause serious burns. Wear self-contained breathing apparatus. Cool exposed tanks with water.,Ignited by heat and by some oxidizing agents. Vapor may explode if ignited in an enclosed area.,"2,3,2",1,10,10,Burning of skin in contact with liquid. Irritation of eyes and respiratory system.,40 ppm for 5 minutes.,,,"Vapor—remove victim to fresh air; if breathing stops, apply artificial respiration. Skin or eye contact—remove contaminated clothing and gently flush affected areas with water for 15 minutes. Get medical attention. Wash contaminated clothing, including shoes, before reuse.",Can react vigorously with oxidizing materials. Reacts violently with potassium hydroxide (caustic potash) and sodium hydroxide (caustic soda).,Highly corrosive to metals when dilute. 316 and 318 stainless steels and aluminum are satisfactory construction materials.,,,Group 4 of compatibility chart. See also Appendix I-Exceptions to the Chart.,"Secure ignition sources. If possible, wear rubber gloves, face shield, and protective clothing. Body shield and self-contained breathing apparatus should be available. Cover spill with soda ash or sodium bicarbonate. Mix, and add water if necessary for mixing. Scoop up slurry. Wash site with soda ash solution. Flush spills with large quantities of water. Usually a spill into a navigable waterway would quickly dilute to a harmless concentration for humans. If a spill occurs, call the National Response Center, 800-424-8802.",Below 62°F the acid may freeze and expand enough to burst its container.,,,3,USCG Hazardous Chemical Data,
ACETIC ANHYDRIDE,Acetic acid anhydride; Acetic oxide; Acetyl oxide; Ethanoic anhydride,1715,ACA,(CH3CO)2O,"Colorless liquid; pungent, highly irritating odor",1.08,Acid anhydride,140°C 284°F,-73°C -100°F,4,0.3,3.5,12% Appreciable,D: Combustible liquid,D,121 (cc),2.7 to 10%,734,"CO2, alcohol foam, water fog* or dry chemical.",Cool outside of tanks with water spray. Apply water cautiously. DO NOT contaminate anhydride system with water. Use self-contained respiratory protection and protective clothing.,Reacts violently with water generating dangerous heat and pressure in confined spaces. Ignited by heat. Vapor may explode if ignited in an enclosed space.,"3,3,3",0.14,5,5,Coughing; burning sensation in nose and throat. Severe eye and skin burns. Warning properties are good because compound is highly irritating.,Less than 40 ppm for 5 minutes.,,,"Vapor—remove victim to fresh air; if breathing stops, apply artificial respiration. Skin or eye contact—remove contaminated clothing and gently flush affected areas with water for 15 minutes. Get medical attention.",Reacts with water to form acetic acid and produces considerable heat. Reacts violently with potassium hydroxide (caustic potash) and sodium hydroxide (caustic soda).,Highly corrosive to iron and steel when moist. Softens many plastics. Usually stored in aluminum or stainless steel tanks.,,,Group 11 of compatibility chart.,"Wear full-protective clothing. Body shield and self-contained breathing apparatus should be available. Secure ignition sources. If possible cover spill with soda ash or sodium bicarbonate. Mix and add water if necessary to effect good mixing. Scoop up slurry and wash site with soda ash solution. Usually a spill into a navigable waterway would quickly dilute to a point where it would present little danger to humans. If a spill occurs, call the National Response Center, 800-424-8802.",* Avoid getting water into acetic anhydride tanks.,,,4,USCG Hazardous Chemical Data,
ACETONE,Dimethyl ketone; Ketone propane; betaketo-Propane; Propanone; 2-Propanone; Pyroacetic ether,1090,ACT,CH3COCH3,Colorless liquid; sweetish odor,0.79,Ketone,57°C 134°F,-95°C -139°F,180,7.25,2,Complete,C: Flammable liquid,D,15,2.5 to 12.8%,1040,"CO2, dry chemical, alcohol foam, water fog","Water may be ineffective on fire. Cool exposed tanks with water. If water is used, large quantities must be applied in order to prevent re-ignition. A solution of 4% acetone and 96% water has a flash point of 129°F.","Highly flammable. Flashback along vapor trail may occur. Keep away from heat, sparks, and open flame. Vapor may explode if ignited in an enclosed area.","1,0,0",200 to 400,750,750,Drowsiness and throat irritation.,"10,000 ppm has been reported as endurable for 30-60 minutes without symptoms.",,,"Vapor—remove victim to fresh air; if breathing stops, apply artificial respiration. Skin or eye contact—remove contaminated clothing and gently flush affected areas with water for 15 minutes. Get medical advice or attention.",Stable.,Will dissolve many plastics and rubber.,,,Group 18 of compatibility chart. See also Appendix I—Exceptions to the Chart.,"If possible: Wear rubber gloves, face shield and protective clothing. Have all-purpose canister mask available. Secure ignition sources. Flush spilled acetone away with water. Do not flush into confined space such as a sewer because of the danger of explosion. If a spill occurs, call the National Response Center, 800-424-8802.",,,,5,USCG Hazardous Chemical Data,
ACETONE CYANOHYDRIN,"alpha-Hydroxyisobutronitrile; alpha-Hydroxyisobutyronitrite; 2-Hydroxy-2-methylpropanenitrile; 2-Methylacetonitrile; Propanenitrile, 2-hydroxy-2-methyl",1541,ACY,(CH3)2C(OH)CN,Colorless to straw colored liquid; almond odor,0.93,Cyanohydrin,Decomposes. *120°C 248°F,-19°C -2°F,0.8,0.3,2.9,Complete,E: Combustible liquid,D,165 (cc),2.25 to 11%,1270,"CO2, alcohol foam, water fog**","DO NOT USE SODA-ACID EXTINGUISHER! Cool exposed tanks with water. Apply water cautiously. DO NOT contaminate cargo with water. Respiratory protection required for firefighting personnel. Wear full protective, airtight clothing.",Gives off flammable and poisonous cyanide gas when heated. Vapor may explode if ignited in an enclosed area. Dilution with water causes decomposition with the formation of hydrogen cyanide.,"1,2,4",Unavailable,Unavailable,Unavailable,"Headache, dizziness, nausea; blueness of lips and fingernails.",Unavailable,,,"Vapor—remove victim to fresh air; if breathing stops, apply artificial respiration. Skin or eye contact—remove contaminated clothing and gently flush affected areas with water for 15 minutes. Keep victim at rest. Get prompt medical attention for liquid or vapor exposure. Wash contaminated clothing, including shoes, before reuse. See Medical Kit Information, Appendix B","When heated, decomposes to form cyanide gas. Must be kept slightly acidified. Dilution with water causes decomposition with formation of hydrogen cyanide.","Aluminum and stainless steel are satisfactory, rubber will swell.",Cyanide gas / hydrogen cyanide.,,Group O of compatibility chart. See also Appendix I—Exception to the Chart,"If possible, wear long rubber gloves, self-contained breathing apparatus, and protective clothing. Eliminate all sources of ignition. Evacuate personnel not equipped with respiratory protection. Do not flush spill where humans or animals may contact. If a spill occurs, call the National Response Center, 800-424-8802.",* Decomposes at the boiling point. ** Avoid getting water into cargo tank.,,,6,USCG Hazardous Chemical Data,
ACETONITRILE,Cyanomethane; Ethanenitrile; Ethyl nitrile; Methyl cyanide,1648,ATN,CH3CN,Colorless liquid; aromatic odor,0.78,Nitrile,81°C 178°F,"-40°C , -40°F",0.51,0.02,1.41,Complete,C: Flammable liquid,D,42,4.4 to 16.0%,975,"CO2, dry chemical, alcohol foam",Water may be ineffective. Cool exposed tanks with water spray. Care must be taken not to expose fire fighters to the fumes of this material. Any who must enter a contaminated atmosphere must be provided with respiratory protection.,"Reacts with steam and acids to produce toxic and flammable vapors. Ignited by heat, sparks, or open flame. Flashback along vapor trail may occur. Vapor may explode if ignited in an enclosed area.","1,1,3",40*,40,40/Skin,"Dizziness, headache, nausea, and blueness of lips and fingernails. Inhalation will cause difficult breathing.",Brief exposure to 500 ppm has produced some nose and throat irritation.,,,"Remove victim to fresh air. Apply artificial respiration if he stops breathing. Get medical attention. If liquid contacts skin, wash off with plenty of water.* See Medical Kit Information, Appendix B",Stable.,Mild steel and stainless steel are compatible.,,,Group 37 of compatibility chart.,"If possible, wear long rubber gloves, self-contained breathing apparatus, and protective clothing. Avoid contact with liquid. Secure ignition sources. Small spills may be washed away with water. May add excess of strong calcium hypochlorite solution to spill and scoop up slurry. Wash site with soap solution containing some hypochlorite. If a spill occurs, call the National Response Center, 800-424-8802.",* NOTE: Odor threshold is not considered adequate warning of potential dangerous vapor concentrations. High vapor concentrations cause rapid death.,,,7,USCG Hazardous Chemical Data,
"ACRYLAMIDE SOLUTION, 50%",Acrylamide monomer; Acrylic acid amide; Acrylic amide; Propenamide; 2-Propenamide,2074,AAM,CH2=CHCONH2,Colorless liquid; odorless,1.05,Amides,102°C 215°F,9°C 49°F,,,1,soluble,Non-flammable,NA,Non-flammable,Non-flammable,Non-flammable,,"Wear full protective clothing, self-contained breathing apparatus.",Toxic oxides of nitrogen may be formed in fire. Note: Acrylamide is not flammable or combustible. It is shipped dissolved in water (50% by weight). Acrylamide will polymerize in the water solution if heated.,"0,1,3",Unavailable,0.3 mg/m3/Skin,0.3 mg/m3/Skin,"Muscular weakness, ataxia, incoordination, tremors, hallucinations. Attacks central nervous system.",Unavailable,,,"Remove to fresh air. Administer artificial respiration or oxygen as necessary. Flush eyes with plenty of water. Remove contaminated clothing and shoes and flush with water. If swallowed and conscious, give water or milk, induce vomiting.",Stable with inhibitor (oxygen). May polymerize violently on melting.,"Incompatible with oxidizing agents, reducing agents, acids, bases, and vinyl polymerization initiators.",,May polymerize violently on melting.,Group 10 of compatibility chart.,"Cover with inert absorbent or flush with water. Do not allow spill to dry. Wear full protective clothing, self-contained breathing apparatus, rubber gloves. If a spill occurs, call the National Response Center, 800-424-8802.",* Vapor Pressure: 19 mmHg at 25°C. + Unavailable,,,8,USCG Hazardous Chemical Data,
ACRYLIC ACID,Acroleic acid; Ethylene carboxylic acid; 2-Propenic acid; 2-Propenoic acid; Propenoic acid; Vinyl formic acid,2218,ACR,C2H3COOH,Colorless liquid; acrid odor,1.05,Organic acid,141°C 286°F,8°C 46°F,3.1,0.2,2.48,Complete,D: Combustible liquid,D,130,Unavailable,835,"Water, dry chemical, alcohol foam, CO2","Use of CO2 where it could blanket the vapor space of a container is not recommended. A fire involving a spill outside of tanks could be extinguished with dry chemical. Wear full protective clothing, eye protection and self-contained breathing apparatus.",Presents no special fire or explosion hazard because of its relatively high flash point and low vapor pressure. Poisonous gases may be produced in a fire.,"3,3,2",Unavailable,10/Skin,10*,"Vapors are capable of causing definite skin or eye irritation, nasal irritation and lachrymation.",0.5 ppm,,,"If contact with skin or eye occurs, immediately flush with plenty of water for at least 15 minutes. Get medical attention promptly. Immediately remove contaminated clothing and shoes.",Polymerizes readily. Should be inhibited to insure safety and stability during storage or handling.,"Severely corrodes iron and steel. Glass, low carbon content stainless steel and high purity aluminum are recommended for containment in order stated.",,Polymerizes readily.,Group 4 of compatibility chart. See also Appendix I—Exceptions to the Chart.,"If possible, wear rubber gloves, face shield, protective clothing. Body shield and self-contained breathing apparatus should be available. If possible, cover contaminated surfaces and spill with large quantities of soda ash or sodium bicarbonate. Mix and add water if needed for good mixing. Scoop up slurry. Wash site with soda ash solution. If a spill occurs, call the National Response Center, 800-424-8802.","* Proposed change in TLV to 2 ppm, with ""Skin"" notation.",,,9,USCG Hazardous Chemical Data,
ACRYLONITRILE,AN; Cyanoethylene; Propenenitrile; 2-Propenenitrile; Vinyl cyanide,1093,ACN,CH2CHCN,Colorless liquid; resembles that of peach seed,0.81,Nitrile,77°C 171°F,-85°C -121°F,83,3.5,1.8,moderate,C: Flammable liquid,D,32,3.0 to 17.0%,898,"CO2, dry chemical, alcohol foam","DO NOT use dry chemical for a large, confined fire. Water or foam may cause frothing. Fire parties wear respiratory protection and full protective clothing including rubber boots. Keep tank cool with water spray.","When heated this material may evolve toxic cyanide gas, or explode, or both. Flashback along vapor trail may occur. Fire may cause violent rupture of tank.","3,1,3",21.6*,29 CFR 1910.1045,2/Skin,"Eye irritation, headache, nausea, blueness of lips and fingertips. Contact with skin may also cause dermatitis.",400 ppm for 30 minutes.,,,"Remove victim to fresh air. If he is not breathing, apply artificial respiration. Remove contaminated clothing and wash chemical from skin with a gentle flow of water. Get medical attention. If patient is unconscious, administer vapor of amyl nitrite.* See Medical Kit Information, Appendix B",Very reactive; may polymerize explosively in the presence of strong bases. Must be inhibited to prevent polymerization. Polymerization could be initiated by visible light.,Copper and copper alloys are attacked and should not be used. Attacks aluminum in high concentrations.,Toxic cyanide gas.,May polymerize explosively in the presence of strong bases; polymerization could be initiated by visible light.,Group 15 of compatibility chart. See also Appendix I—Exceptions to the Chart.,"If possible, wear long rubber gloves, self-contained breathing apparatus, protective clothing. Avoid contact with liquid. Secure ignition sources. May add excess of strong calcium hypochlorite solution. Scoop up slurry. Wash site of spill with soap solution containing some hypochlorite. If a spill occurs, call the National Response Center, 800-424-8802.",* NOTE: Detectable odor is greater than the TLV. Exposure to potentially dangerous vapor concentrations can occur before the vapor is detected.,"Suspected carcinogen. Harmful by inhalation and skin absorption. Penetrates leather, liquid in shoes causes delayed burns. Contaminated leather shoes and gloves should be destroyed.",,10,USCG Hazardous Chemical Data,
ADIPONITRILE,"1,4-Dicyanobutane; Tetramethylene cyanide",2205,ADN,NC(CH2)4CN,Colorless liquid; practically odorless,0.95,Nitrile,295°C 563°F,2°C 35°F,Low,Low,3.73,Slight,E: Combustible liquid,D,199,LEL=1.0% at 200°C,Unavailable,"CO2, dry chemical, alcohol foam or water fog.","Keep tank cool with a water spray. Combustion may produce cyanide gas, so fire parties should wear self-contained breathing apparatus and protective clothing.",On being heated to its flash point this material can decompose to form highly poisonous cyanide gas. Vapor may explode if ignited in an enclosed area.,"1,1,3",Unavailable,Unavailable,Unavailable,"Headache, nausea; blueness of lips and fingertips.",Unavailable,,,"Remove victim to fresh air. Remove contaminated clothing. If breathing stops, give artificial respiration. Wash spill from skin with gentle flow of water. Get medical attention. See Medical Kit Information, Appendix B",Stable up to temperatures near the flash point.,"Compatible with steel, wood, most rubbers.",Poisonous cyanide gas (on heating to flash point).,,Group 37 of compatibility chart.,"If possible, wear long rubber gloves and protective clothing. Add an excess of strong calcium hypochlorite solution to the spill. Scoop up slurry. Wash site of spill with soap solution containing some hypochlorite. If a spill occurs, call the National Response Center, 800-424-8802.",,,,11,USCG Hazardous Chemical Data,
