Group ID,Group Name,Chemical Name
0,Unassigned Cargoes,Acetone cyanohydrin
0,Unassigned Cargoes,Alkylbenzenesulfonic acid
0,Unassigned Cargoes,"Aluminium chloride, Hydrochloric acid solution"
0,Unassigned Cargoes,Ammonium hydrogen phosphate solution
0,Unassigned Cargoes,Ammonium nitrate solution
0,Unassigned Cargoes,"Ammonium thiocyanate, Ammonium thiosulfate solution"
0,Unassigned Cargoes,Benzenesulfonyl chloride
0,Unassigned Cargoes,γ-Butyrolactone
0,Unassigned Cargoes,Chlorine
0,Unassigned Cargoes,Chlorosulfonic acid
0,Unassigned Cargoes,"2,4-Dichlorophenoxyacetic acid, Dimethylamine salt solution"
0,Unassigned Cargoes,"Dimethylamine salt of 2,4-Dichlorophenoxyacetic acid solution"
0,Unassigned Cargoes,Diphenylol propane–Epichlorohydrin resins
0,Unassigned Cargoes,Dodecylbenzenesulfonic acid
0,Unassigned Cargoes,Ethyl chlorothioformate
0,Unassigned Cargoes,Ethylene oxide
0,Unassigned Cargoes,2-Hydroxyethyl acrylate
0,Unassigned Cargoes,Magnesium chloride solution
0,Unassigned Cargoes,Molasses residue
0,Unassigned Cargoes,Motor fuel antiknock compounds containing Lead alkyls
0,Unassigned Cargoes,"Naphthalene sulfonic acid-formaldehyde copolymer, sodium salt solution"
0,Unassigned Cargoes,Nitrating acid
0,Unassigned Cargoes,Oleum
0,Unassigned Cargoes,Phosphorus
0,Unassigned Cargoes,Sodium chlorate solution
0,Unassigned Cargoes,Sodium dichromate solution
0,Unassigned Cargoes,"Sodium hydrogen sulfide, Sodium carbonate solution"
0,Unassigned Cargoes,"Sodium sulfide, Hydrosulfide solution"
0,Unassigned Cargoes,Sodium thiocyanate solution
0,Unassigned Cargoes,Sulfur
0,Unassigned Cargoes,"Urea, Ammonium mono- and di-hydrogen phosphate, Potassium chloride solution"
1,Non-Oxidizing Mineral Acids,Di-(2-ethylhexyl) phosphoric acid
1,Non-Oxidizing Mineral Acids,Ferric chloride solution
1,Non-Oxidizing Mineral Acids,Hydrochloric acid
1,Non-Oxidizing Mineral Acids,"Hydrochloric acid, spent"
1,Non-Oxidizing Mineral Acids,Hydrofluorosilicic acid
1,Non-Oxidizing Mineral Acids,Phosphoric acid
2,Sulfuric Acids,Sulfuric acid
2,Sulfuric Acids,"Sulfuric acid, spent"
2,Sulfuric Acids,Titanium tetrachloride
3,Nitric Acid,"Ferric nitrate, Nitric acid solution"
3,Nitric Acid,Nitric acid (70% or less)
4,Organic Acids,Acetic acid
4,Organic Acids,Acrylic acid
4,Organic Acids,Butyric acid
4,Organic Acids,Cashew nut shell oil (untreated)
4,Organic Acids,Chloroacetic acid solution
4,Organic Acids,Chloropropionic acid
4,Organic Acids,Cyclohexane oxidation product acid water
4,Organic Acids,Decanoic acid
4,Organic Acids,"2,2-Dichloropropionic acid"
4,Organic Acids,"2,2-Dimethyloctanoic acid"
4,Organic Acids,2-Ethylhexanoic acid
4,Organic Acids,Formic acid
4,Organic Acids,Heptanoic acid (n-Heptanoic acid)
4,Organic Acids,Hexanoic acid
4,Organic Acids,2-Hydroxy-4-(methylthio)butanoic acid
4,Organic Acids,Methacrylic acid
4,Organic Acids,Naphthenic acid
4,Organic Acids,Neodecanoic acid
4,Organic Acids,Nonanoic acid
4,Organic Acids,Octanoic acid
4,Organic Acids,Propionic acid
4,Organic Acids,Trimethylacetic acid
4,Organic Acids,Undecanoic acid
5,Caustics,Ammonium sulfide solution
5,Caustics,Calcium hypochlorite solutions
5,Caustics,Caustic potash solution ²
5,Caustics,Caustic soda solution ²
5,Caustics,Cresylate spent caustic
5,Caustics,"Cresylic acid, sodium salt solution"
5,Caustics,Kraft black liquor
5,Caustics,Kraft pulping liquors
5,Caustics,"Mercaptobenzothiazol, sodium salt solution"
5,Caustics,Potassium hydroxide solution ²
5,Caustics,Sodium aluminate solution
5,Caustics,"Sodium borohydride, Sodium hydroxide solution"
5,Caustics,Sodium carbonate solutions
5,Caustics,Sodium cyanide solution
5,Caustics,Sodium hydrosulfide solution ²
5,Caustics,"Sodium hydrosulfide, Ammonium sulfide solution ²"
5,Caustics,Sodium hydroxide solution ²
5,Caustics,Sodium hypochlorite solution
5,Caustics,Sodium 2-mercaptobenzothiazol solution
5,Caustics,Sodium nitrite solution
5,Caustics,Vanillin black liquor
6,Ammonia,"Ammonia, anhydrous"
6,Ammonia,Ammonium hydroxide (28% or less Ammonia)
6,Ammonia,"Ammonium nitrate, Urea solution (containing Ammonia)"
6,Ammonia,"Urea, Ammonium nitrate solution (containing Ammonia)"
7,Aliphatic Amines,N-Aminoethylpiperazine
7,Aliphatic Amines,Butylamine
7,Aliphatic Amines,Cyclohexylamine
7,Aliphatic Amines,Dibutylamine
7,Aliphatic Amines,Diethylamine ²
7,Aliphatic Amines,Diethylenetriamine
7,Aliphatic Amines,Diisobutylamine
7,Aliphatic Amines,Diisopropylamine
7,Aliphatic Amines,Dimethylamine
7,Aliphatic Amines,Dimethylamine solution
